Timestamp,Direct Beam,Direct Hz,Global Hz,Dif Hz
12/21/22 0:00,0,0.0,0.0,0.0
12/21/22 1:00,0,0.0,0.0,0.0
12/21/22 2:00,0,0.0,0.0,0.0
12/21/22 3:00,0,0.0,0.0,0.0
12/21/22 4:00,0,0.0,0.0,0.0
12/21/22 5:00,0,0.0,0.0,0.0
12/21/22 6:00,0,0.0,0.0,0.0
12/21/22 7:00,0,0.0,0.0,0.0
12/21/22 8:00,491,88.7,145.0,56.3
12/21/22 9:00,679,215.7,296.7,81.0
12/21/22 10:00,764,317.9,410.1,92.3
12/21/22 11:00,800,375.5,472.7,97.2
12/21/22 12:00,803,380.7,478.3,97.6
12/21/22 13:00,774,332.9,426.6,93.6
12/21/22 14:00,701,238.4,322.3,83.9
12/21/22 15:00,541,113.6,176.6,62.9
12/21/22 16:00,173,8.5,19.4,10.9
12/21/22 17:00,0,0.0,0.0,0.0
12/21/22 18:00,0,0.0,0.0,0.0
12/21/22 19:00,0,0.0,0.0,0.0
12/21/22 20:00,0,0.0,0.0,0.0
12/21/22 21:00,0,0.0,0.0,0.0
12/21/22 22:00,0,0.0,0.0,0.0
12/21/22 23:00,0,0.0,0.0,0.0
12/22/22 0:00,0,0.0,0.0,0.0
12/22/22 1:00,0,0.0,0.0,0.0
12/22/22 2:00,0,0.0,0.0,0.0
12/22/22 3:00,0,0.0,0.0,0.0
12/22/22 4:00,0,0.0,0.0,0.0
12/22/22 5:00,0,0.0,0.0,0.0
12/22/22 6:00,0,0.0,0.0,0.0
12/22/22 7:00,0,0.0,0.0,0.0
12/22/22 8:00,489,87.7,143.6,56.0
12/22/22 9:00,678,214.7,295.6,80.9
12/22/22 10:00,764,317.2,409.4,92.2
12/22/22 11:00,800,375.2,472.4,97.2
12/22/22 12:00,803,380.8,478.5,97.6
12/22/22 13:00,774,333.4,427.1,93.7
12/22/22 14:00,702,239.2,323.2,84.0
12/22/22 15:00,543,114.6,177.7,63.2
12/22/22 16:00,176,8.8,20.2,11.4
12/22/22 17:00,0,0.0,0.0,0.0
12/22/22 18:00,0,0.0,0.0,0.0
12/22/22 19:00,0,0.0,0.0,0.0
12/22/22 20:00,0,0.0,0.0,0.0
12/22/22 21:00,0,0.0,0.0,0.0
12/22/22 22:00,0,0.0,0.0,0.0
12/22/22 23:00,0,0.0,0.0,0.0
12/23/22 0:00,0,0.0,0.0,0.0
12/23/22 1:00,0,0.0,0.0,0.0
12/23/22 2:00,0,0.0,0.0,0.0
12/23/22 3:00,0,0.0,0.0,0.0
12/23/22 4:00,0,0.0,0.0,0.0
12/23/22 5:00,0,0.0,0.0,0.0
12/23/22 6:00,0,0.0,0.0,0.0
12/23/22 7:00,0,0.0,0.0,0.0
12/23/22 8:00,486,86.7,142.4,55.7
12/23/22 9:00,677,213.8,294.6,80.7
12/23/22 10:00,763,316.6,408.8,92.2
12/23/22 11:00,800,375.0,472.2,97.2
12/23/22 12:00,803,381.1,478.7,97.7
12/23/22 13:00,775,334.1,427.8,93.8
12/23/22 14:00,703,240.2,324.3,84.1
12/23/22 15:00,545,115.6,179.0,63.4
12/23/22 16:00,180,9.3,21.2,11.9
12/23/22 17:00,0,0.0,0.0,0.0
12/23/22 18:00,0,0.0,0.0,0.0
12/23/22 19:00,0,0.0,0.0,0.0
12/23/22 20:00,0,0.0,0.0,0.0
12/23/22 21:00,0,0.0,0.0,0.0
12/23/22 22:00,0,0.0,0.0,0.0
12/23/22 23:00,0,0.0,0.0,0.0
12/24/22 0:00,0,0.0,0.0,0.0
12/24/22 1:00,0,0.0,0.0,0.0
12/24/22 2:00,0,0.0,0.0,0.0
12/24/22 3:00,0,0.0,0.0,0.0
12/24/22 4:00,0,0.0,0.0,0.0
12/24/22 5:00,0,0.0,0.0,0.0
12/24/22 6:00,0,0.0,0.0,0.0
12/24/22 7:00,0,0.0,0.0,0.0
12/24/22 8:00,485,85.9,141.3,55.4
12/24/22 9:00,677,213.0,293.7,80.6
12/24/22 10:00,763,316.1,408.3,92.1
12/24/22 11:00,800,374.9,472.1,97.2
12/24/22 12:00,803,381.4,479.1,97.7
12/24/22 13:00,775,334.8,428.7,93.8
12/24/22 14:00,704,241.2,325.4,84.2
12/24/22 15:00,547,116.8,180.4,63.7
