Date,Sunrise,Sunset,Daylength,
12/21/22,7:21:21 AM,4:54:00 PM,9h 32m 39s,
12/22/22,7:21:49 AM,4:54:31 PM,9h 32m 42s,
12/23/22,7:22:16 AM,4:55:05 PM,9h 32m 49s,
12/24/22,7:22:40 AM,4:55:40 PM,9h 33m 0s,
12/25/22,7:23:02 AM,4:56:17 PM,9h 33m 15s,
12/26/22,7:23:23 AM,4:56:56 PM,9h 33m 33s,
12/27/22,7:23:41 AM,4:57:36 PM,9h 33m 55s,
12/28/22,7:23:58 AM,4:58:18 PM,9h 34m 20s,
12/29/22,7:24:12 AM,4:59:02 PM,9h 34m 50s,
12/30/22,7:24:25 AM,4:59:47 PM,9h 35m 22s,
12/31/22,7:24:35 AM,5:00:33 PM,9h 35m 58s,
1/1/23,7:24:46 AM,5:01:33 PM,9h 36m 47s,
1/2/23,7:24:52 AM,5:02:22 PM,9h 37m 30s,
1/3/23,7:24:56 AM,5:03:13 PM,9h 38m 17s,
1/4/23,7:24:58 AM,5:04:05 PM,9h 39m 7s,
1/5/23,7:24:57 AM,5:04:58 PM,9h 40m 1s,
1/6/23,7:24:55 AM,5:05:53 PM,9h 40m 58s,
1/7/23,7:24:51 AM,5:06:48 PM,9h 41m 57s,
1/8/23,7:24:44 AM,5:07:45 PM,9h 43m 1s,
1/9/23,7:24:36 AM,5:08:42 PM,9h 44m 6s,
1/10/23,7:24:25 AM,5:09:40 PM,9h 45m 15s,
1/11/23,7:24:12 AM,5:10:40 PM,9h 46m 28s,
1/12/23,7:23:58 AM,5:11:40 PM,9h 47m 42s,
1/13/23,7:23:41 AM,5:12:41 PM,9h 49m 0s,
1/14/23,7:23:22 AM,5:13:42 PM,9h 50m 20s,
1/15/23,7:23:01 AM,5:14:45 PM,9h 51m 44s,
1/16/23,7:22:38 AM,5:15:48 PM,9h 53m 10s,
1/17/23,7:22:13 AM,5:16:51 PM,9h 54m 38s,
1/18/23,7:21:47 AM,5:17:55 PM,9h 56m 8s,
1/19/23,7:21:18 AM,5:19:00 PM,9h 57m 42s,
1/20/23,7:20:47 AM,5:20:05 PM,9h 59m 18s,
1/21/23,7:20:14 AM,5:21:10 PM,10h 0m 56s,
1/22/23,7:19:40 AM,5:22:16 PM,10h 2m 36s,
1/23/23,7:19:03 AM,5:23:22 PM,10h 4m 19s,
1/24/23,7:18:25 AM,5:24:28 PM,10h 6m 3s,
1/25/23,7:17:45 AM,5:25:35 PM,10h 7m 50s,
1/26/23,7:17:03 AM,5:26:41 PM,10h 9m 38s,
1/27/23,7:16:20 AM,5:27:48 PM,10h 11m 28s,
1/28/23,7:15:34 AM,5:28:55 PM,10h 13m 21s,
1/29/23,7:14:47 AM,5:30:02 PM,10h 15m 15s,
1/30/23,7:13:58 AM,5:31:10 PM,10h 17m 12s,
1/31/23,7:13:08 AM,5:32:17 PM,10h 19m 9s,
2/1/23,7:12:16 AM,5:33:24 PM,10h 21m 8s,
2/2/23,7:11:22 AM,5:34:31 PM,10h 23m 9s,
2/3/23,7:10:27 AM,5:35:38 PM,10h 25m 11s,
2/4/23,7:09:30 AM,5:36:45 PM,10h 27m 15s,
2/5/23,7:08:32 AM,5:37:52 PM,10h 29m 20s,
2/6/23,7:07:32 AM,5:38:58 PM,10h 31m 26s,
2/7/23,7:06:31 AM,5:40:05 PM,10h 33m 34s,
2/8/23,7:05:29 AM,5:41:11 PM,10h 35m 42s,
2/9/23,7:04:25 AM,5:42:17 PM,10h 37m 52s,
2/10/23,7:03:20 AM,5:43:23 PM,10h 40m 3s,
2/11/23,7:02:13 AM,5:44:29 PM,10h 42m 16s,
2/12/23,7:01:05 AM,5:45:34 PM,10h 44m 29s,
2/13/23,6:59:56 AM,5:46:40 PM,10h 46m 44s,
2/14/23,6:58:46 AM,5:47:45 PM,10h 48m 59s,
2/15/23,6:57:35 AM,5:48:49 PM,10h 51m 14s,
2/16/23,6:56:22 AM,5:49:54 PM,10h 53m 32s,
2/17/23,6:55:09 AM,5:50:58 PM,10h 55m 49s,
2/18/23,6:53:54 AM,5:52:01 PM,10h 58m 7s,
2/19/23,6:52:39 AM,5:53:05 PM,11h 0m 26s,
2/20/23,6:51:22 AM,5:54:08 PM,11h 2m 46s,
2/21/23,6:50:04 AM,5:55:11 PM,11h 5m 7s,
2/22/23,6:48:46 AM,5:56:13 PM,11h 7m 27s,
2/23/23,6:47:26 AM,5:57:15 PM,11h 9m 49s,
2/24/23,6:46:06 AM,5:58:17 PM,11h 12m 11s,
2/25/23,6:44:45 AM,5:59:19 PM,11h 14m 34s,
2/26/23,6:43:23 AM,6:00:20 PM,11h 16m 57s,
2/27/23,6:42:00 AM,6:01:21 PM,11h 19m 21s,
2/28/23,6:40:37 AM,6:02:22 PM,11h 21m 45s,
3/1/23,6:39:13 AM,6:03:22 PM,11h 24m 9s,
3/2/23,6:37:48 AM,6:04:22 PM,11h 26m 34s,
3/3/23,6:36:22 AM,6:05:22 PM,11h 29m 0s,
3/4/23,6:34:56 AM,6:06:21 PM,11h 31m 25s,
3/5/23,6:33:30 AM,6:07:20 PM,11h 33m 50s,
3/6/23,6:32:03 AM,6:08:19 PM,11h 36m 16s,
3/7/23,6:30:35 AM,6:09:17 PM,11h 38m 42s,
3/8/23,6:29:07 AM,6:10:16 PM,11h 41m 9s,
3/9/23,6:27:38 AM,6:11:14 PM,11h 43m 36s,
3/10/23,6:26:09 AM,6:12:12 PM,11h 46m 3s,
3/11/23,6:24:40 AM,6:13:09 PM,11h 48m 29s,
3/12/23,7:23:14 AM,7:14:04 PM,11h 50m 50s,
3/13/23,7:21:44 AM,7:15:01 PM,11h 53m 17s,
3/14/23,7:20:14 AM,7:15:58 PM,11h 55m 44s,
3/15/23,7:18:43 AM,7:16:55 PM,11h 58m 12s,
3/16/23,7:17:12 AM,7:17:51 PM,12h 0m 39s,
3/17/23,7:15:41 AM,7:18:48 PM,12h 3m 7s,
3/18/23,7:14:10 AM,7:19:44 PM,12h 5m 34s,
3/19/23,7:12:39 AM,7:20:40 PM,12h 8m 1s,
3/20/23,7:11:08 AM,7:21:36 PM,12h 10m 28s,
3/21/23,7:09:36 AM,7:22:31 PM,12h 12m 55s,
3/22/23,7:08:05 AM,7:23:27 PM,12h 15m 22s,
3/23/23,7:06:33 AM,7:24:22 PM,12h 17m 49s,
3/24/23,7:05:02 AM,7:25:18 PM,12h 20m 16s,
3/25/23,7:03:30 AM,7:26:13 PM,12h 22m 43s,
3/26/23,7:01:59 AM,7:27:08 PM,12h 25m 9s,
3/27/23,7:00:27 AM,7:28:03 PM,12h 27m 36s,
3/28/23,6:58:56 AM,7:28:58 PM,12h 30m 2s,
3/29/23,6:57:25 AM,7:29:53 PM,12h 32m 28s,
3/30/23,6:55:54 AM,7:30:48 PM,12h 34m 54s,
3/31/23,6:54:24 AM,7:31:43 PM,12h 37m 19s,
4/1/23,6:52:53 AM,7:32:38 PM,12h 39m 45s,
4/2/23,6:51:23 AM,7:33:33 PM,12h 42m 10s,
4/3/23,6:49:53 AM,7:34:28 PM,12h 44m 35s,
4/4/23,6:48:24 AM,7:35:23 PM,12h 46m 59s,
4/5/23,6:46:55 AM,7:36:18 PM,12h 49m 23s,
4/6/23,6:45:26 AM,7:37:13 PM,12h 51m 47s,
4/7/23,6:43:58 AM,7:38:07 PM,12h 54m 9s,
4/8/23,6:42:30 AM,7:39:02 PM,12h 56m 32s,
4/9/23,6:41:03 AM,7:39:57 PM,12h 58m 54s,
4/10/23,6:39:36 AM,7:40:52 PM,13h 1m 16s,
4/11/23,6:38:10 AM,7:41:47 PM,13h 3m 37s,
4/12/23,6:36:44 AM,7:42:42 PM,13h 5m 58s,
4/13/23,6:35:19 AM,7:43:37 PM,13h 8m 18s,
4/14/23,6:33:55 AM,7:44:32 PM,13h 10m 37s,
4/15/23,6:32:31 AM,7:45:28 PM,13h 12m 57s,
4/16/23,6:31:08 AM,7:46:23 PM,13h 15m 15s,
4/17/23,6:29:45 AM,7:47:18 PM,13h 17m 33s,
4/18/23,6:28:24 AM,7:48:13 PM,13h 19m 49s,
4/19/23,6:27:03 AM,7:49:09 PM,13h 22m 6s,
4/20/23,6:25:43 AM,7:50:04 PM,13h 24m 21s,
4/21/23,6:24:24 AM,7:50:59 PM,13h 26m 35s,
4/22/23,6:23:06 AM,7:51:55 PM,13h 28m 49s,
4/23/23,6:21:49 AM,7:52:50 PM,13h 31m 1s,
4/24/23,6:20:32 AM,7:53:46 PM,13h 33m 14s,
4/25/23,6:19:17 AM,7:54:41 PM,13h 35m 24s,
4/26/23,6:18:02 AM,7:55:36 PM,13h 37m 34s,
4/27/23,6:16:49 AM,7:56:32 PM,13h 39m 43s,
4/28/23,6:15:37 AM,7:57:27 PM,13h 41m 50s,
4/29/23,6:14:25 AM,7:58:22 PM,13h 43m 57s,
4/30/23,6:13:15 AM,7:59:18 PM,13h 46m 3s,
5/1/23,6:12:06 AM,8:00:13 PM,13h 48m 7s,
5/2/23,6:10:59 AM,8:01:08 PM,13h 50m 9s,
5/3/23,6:09:52 AM,8:02:03 PM,13h 52m 11s,
5/4/23,6:08:47 AM,8:02:58 PM,13h 54m 11s,
5/5/23,6:07:43 AM,8:03:53 PM,13h 56m 10s,
5/6/23,6:06:40 AM,8:04:47 PM,13h 58m 7s,
5/7/23,6:05:38 AM,8:05:42 PM,14h 0m 4s,
5/8/23,6:04:38 AM,8:06:36 PM,14h 1m 58s,
5/9/23,6:03:39 AM,8:07:30 PM,14h 3m 51s,
5/10/23,6:02:42 AM,8:08:23 PM,14h 5m 41s,
5/11/23,6:01:46 AM,8:09:17 PM,14h 7m 31s,
5/12/23,6:00:52 AM,8:10:10 PM,14h 9m 18s,
5/13/23,5:59:59 AM,8:11:03 PM,14h 11m 4s,
5/14/23,5:59:07 AM,8:11:55 PM,14h 12m 48s,
5/15/23,5:58:17 AM,8:12:47 PM,14h 14m 30s,
5/16/23,5:57:29 AM,8:13:39 PM,14h 16m 10s,
5/17/23,5:56:42 AM,8:14:30 PM,14h 17m 48s,
5/18/23,5:55:57 AM,8:15:20 PM,14h 19m 23s,
5/19/23,5:55:13 AM,8:16:10 PM,14h 20m 57s,
5/20/23,5:54:31 AM,8:17:00 PM,14h 22m 29s,
5/21/23,5:53:51 AM,8:17:49 PM,14h 23m 58s,
5/22/23,5:53:12 AM,8:18:37 PM,14h 25m 25s,
5/23/23,5:52:35 AM,8:19:25 PM,14h 26m 50s,
5/24/23,5:52:00 AM,8:20:12 PM,14h 28m 12s,
5/25/23,5:51:26 AM,8:20:58 PM,14h 29m 32s,
5/26/23,5:50:54 AM,8:21:44 PM,14h 30m 50s,
5/27/23,5:50:24 AM,8:22:28 PM,14h 32m 4s,
5/28/23,5:49:56 AM,8:23:12 PM,14h 33m 16s,
5/29/23,5:49:29 AM,8:23:55 PM,14h 34m 26s,
5/30/23,5:49:05 AM,8:24:37 PM,14h 35m 32s,
5/31/23,5:48:42 AM,8:25:18 PM,14h 36m 36s,
6/1/23,5:48:20 AM,8:25:58 PM,14h 37m 38s,
6/2/23,5:48:01 AM,8:26:37 PM,14h 38m 36s,
6/3/23,5:47:43 AM,8:27:15 PM,14h 39m 32s,
6/4/23,5:47:28 AM,8:27:51 PM,14h 40m 23s,
6/5/23,5:47:14 AM,8:28:27 PM,14h 41m 13s,
6/6/23,5:47:02 AM,8:29:01 PM,14h 41m 59s,
6/7/23,5:46:51 AM,8:29:34 PM,14h 42m 43s,
6/8/23,5:46:43 AM,8:30:06 PM,14h 43m 23s,
6/9/23,5:46:36 AM,8:30:37 PM,14h 44m 1s,
6/10/23,5:46:31 AM,8:31:06 PM,14h 44m 35s,
6/11/23,5:46:28 AM,8:31:34 PM,14h 45m 6s,
6/12/23,5:46:27 AM,8:32:00 PM,14h 45m 33s,
6/13/23,5:46:27 AM,8:32:25 PM,14h 45m 58s,
6/14/23,5:46:29 AM,8:32:48 PM,14h 46m 19s,
6/15/23,5:46:33 AM,8:33:10 PM,14h 46m 37s,
6/16/23,5:46:39 AM,8:33:31 PM,14h 46m 52s,
6/17/23,5:46:46 AM,8:33:49 PM,14h 47m 3s,
6/18/23,5:46:55 AM,8:34:06 PM,14h 47m 11s,
6/19/23,5:47:06 AM,8:34:22 PM,14h 47m 16s,
6/20/23,5:47:18 AM,8:34:36 PM,14h 47m 18s,
6/21/23,5:47:32 AM,8:34:48 PM,14h 47m 16s,
6/22/23,5:47:47 AM,8:34:59 PM,14h 47m 12s,
6/23/23,5:48:04 AM,8:35:07 PM,14h 47m 3s,
6/24/23,5:48:23 AM,8:35:14 PM,14h 46m 51s,
6/25/23,5:48:43 AM,8:35:20 PM,14h 46m 37s,
6/26/23,5:49:04 AM,8:35:23 PM,14h 46m 19s,
6/27/23,5:49:27 AM,8:35:25 PM,14h 45m 58s,
6/28/23,5:49:52 AM,8:35:25 PM,14h 45m 33s,
6/29/23,5:50:18 AM,8:35:23 PM,14h 45m 5s,
6/30/23,5:50:45 AM,8:35:19 PM,14h 44m 34s,
7/1/23,5:51:13 AM,8:35:13 PM,14h 44m 0s,
7/2/23,5:51:43 AM,8:35:06 PM,14h 43m 23s,
7/3/23,5:52:14 AM,8:34:57 PM,14h 42m 43s,
7/4/23,5:52:46 AM,8:34:46 PM,14h 42m 0s,
7/5/23,5:53:20 AM,8:34:33 PM,14h 41m 13s,
7/6/23,5:53:54 AM,8:34:18 PM,14h 40m 24s,
7/7/23,5:54:30 AM,8:34:01 PM,14h 39m 31s,
7/8/23,5:55:06 AM,8:33:43 PM,14h 38m 37s,
7/9/23,5:55:44 AM,8:33:22 PM,14h 37m 38s,
7/10/23,5:56:22 AM,8:33:00 PM,14h 36m 38s,
7/11/23,5:57:02 AM,8:32:36 PM,14h 35m 34s,
7/12/23,5:57:42 AM,8:32:10 PM,14h 34m 28s,
7/13/23,5:58:24 AM,8:31:42 PM,14h 33m 18s,
7/14/23,5:59:06 AM,8:31:13 PM,14h 32m 7s,
7/15/23,5:59:49 AM,8:30:42 PM,14h 30m 53s,
7/16/23,6:00:32 AM,8:30:09 PM,14h 29m 37s,
7/17/23,6:01:16 AM,8:29:34 PM,14h 28m 18s,
7/18/23,6:02:01 AM,8:28:57 PM,14h 26m 56s,
7/19/23,6:02:47 AM,8:28:19 PM,14h 25m 32s,
7/20/23,6:03:33 AM,8:27:39 PM,14h 24m 6s,
7/21/23,6:04:20 AM,8:26:57 PM,14h 22m 37s,
7/22/23,6:05:07 AM,8:26:14 PM,14h 21m 7s,
7/23/23,6:05:55 AM,8:25:29 PM,14h 19m 34s,
7/24/23,6:06:43 AM,8:24:42 PM,14h 17m 59s,
7/25/23,6:07:32 AM,8:23:54 PM,14h 16m 22s,
7/26/23,6:08:21 AM,8:23:04 PM,14h 14m 43s,
7/27/23,6:09:10 AM,8:22:13 PM,14h 13m 3s,
7/28/23,6:10:00 AM,8:21:20 PM,14h 11m 20s,
7/29/23,6:10:50 AM,8:20:25 PM,14h 9m 35s,
